source,condition,true_class,predicted_class,count,row_pct
NEH,1,CNV,deferred,0,0.0
NEH,1,DME,CNV,0,
NEH,1,DME,DME,0,
NEH,1,DME,DRUSEN,0,
NEH,1,DME,NORMAL,0,
NEH,1,DME,deferred,0,
NEH,1,DRUSEN,CNV,987,19.77
NEH,1,DRUSEN,DME,62,1.24
NEH,1,DRUSEN,DRUSEN,2796,56.01
NEH,1,DRUSEN,NORMAL,1147,22.98
NEH,1,DRUSEN,deferred,0,0.0
NEH,1,NORMAL,CNV,224,2.61
NEH,1,NORMAL,DME,283,3.3
NEH,1,NORMAL,DRUSEN,309,3.6
NEH,1,NORMAL,NORMAL,7761,90.49
NEH,1,NORMAL,deferred,0,0.0
NEH,2,CNV,CNV,2682,82.93
NEH,2,CNV,DME,45,1.39
NEH,2,CNV,DRUSEN,50,1.55
NEH,2,CNV,NORMAL,13,0.4
NEH,2,CNV,deferred,444,13.73
NEH,2,DME,CNV,0,
NEH,2,DME,DME,0,
NEH,2,DME,DRUSEN,0,
NEH,2,DME,NORMAL,0,
NEH,2,DME,deferred,0,
NEH,2,DRUSEN,CNV,545,10.92
NEH,2,DRUSEN,DME,31,0.62
NEH,2,DRUSEN,DRUSEN,2052,41.11
NEH,2,DRUSEN,NORMAL,268,5.37
NEH,2,DRUSEN,deferred,2096,41.99
NEH,2,NORMAL,CNV,48,0.56
NEH,2,NORMAL,DME,165,1.92
NEH,2,NORMAL,DRUSEN,91,1.06
NEH,2,NORMAL,NORMAL,2271,26.48
NEH,2,NORMAL,deferred,6002,69.98
NEH,3,CNV,CNV,2694,83.3
NEH,3,CNV,DME,16,0.49
NEH,3,CNV,DRUSEN,15,0.46
NEH,3,CNV,NORMAL,18,0.56
NEH,3,CNV,deferred,491,15.18
NEH,3,DME,CNV,0,
NEH,3,DME,DME,0,
NEH,3,DME,DRUSEN,0,
NEH,3,DME,NORMAL,0,
NEH,3,DME,deferred,0,
NEH,3,DRUSEN,CNV,331,6.63
NEH,3,DRUSEN,DME,4,0.08
NEH,3,DRUSEN,DRUSEN,1284,25.72
NEH,3,DRUSEN,NORMAL,432,8.65
NEH,3,DRUSEN,deferred,2941,58.91
NEH,3,NORMAL,CNV,15,0.17
NEH,3,NORMAL,DME,13,0.15
NEH,3,NORMAL,DRUSEN,15,0.17
NEH,3,NORMAL,NORMAL,4825,56.26
NEH,3,NORMAL,deferred,3709,43.24
NEH,4,CNV,CNV,2811,86.92
NEH,4,CNV,DME,53,1.64
NEH,4,CNV,DRUSEN,75,2.32
NEH,4,CNV,NORMAL,37,1.14
NEH,4,CNV,deferred,258,7.98
NEH,4,DME,CNV,0,
NEH,4,DME,DME,0,
NEH,4,DME,DRUSEN,0,
NEH,4,DME,NORMAL,0,
NEH,4,DME,deferred,0,
NEH,4,DRUSEN,CNV,485,9.72
NEH,4,DRUSEN,DME,12,0.24
NEH,4,DRUSEN,DRUSEN,2706,54.21
NEH,4,DRUSEN,NORMAL,586,11.74
NEH,4,DRUSEN,deferred,1203,24.1
NEH,4,NORMAL,CNV,63,0.73
