source,condition,coverage,risk
RETOUCH-Spectralis,3,0.24,0.0
RETOUCH-Spectralis,3,0.25,0.0
RETOUCH-Spectralis,3,0.26,0.0
RETOUCH-Spectralis,3,0.27,0.0
RETOUCH-Spectralis,3,0.28,0.0
RETOUCH-Spectralis,3,0.29,0.0
RETOUCH-Spectralis,3,0.3,0.0
RETOUCH-Spectralis,3,0.31,0.0
RETOUCH-Spectralis,3,0.32,0.0
RETOUCH-Spectralis,3,0.33,0.0
RETOUCH-Spectralis,3,0.34,0.0
RETOUCH-Spectralis,3,0.35000000000000003,0.0
RETOUCH-Spectralis,3,0.36,0.0
RETOUCH-Spectralis,3,0.37,0.0
RETOUCH-Spectralis,3,0.38,0.0
RETOUCH-Spectralis,3,0.39,0.0
RETOUCH-Spectralis,3,0.4,0.0
RETOUCH-Spectralis,3,0.41000000000000003,0.0
RETOUCH-Spectralis,3,0.42,0.0
RETOUCH-Spectralis,3,0.43,0.0
RETOUCH-Spectralis,3,0.44,0.0
RETOUCH-Spectralis,3,0.45,0.0
RETOUCH-Spectralis,3,0.46,0.006356526646779014
RETOUCH-Spectralis,3,0.47000000000000003,0.006221273291925468
RETOUCH-Spectralis,3,0.48,0.006091648189209176
RETOUCH-Spectralis,3,0.49,0.005967351012261199
RETOUCH-Spectralis,3,0.5,0.005847953216374324
RETOUCH-Spectralis,3,0.51,0.005733333333333344
RETOUCH-Spectralis,3,0.52,0.005623055925855396
RETOUCH-Spectralis,3,0.53,0.005516969218626662
RETOUCH-Spectralis,3,0.54,0.005414806110458255
RETOUCH-Spectralis,3,0.55,0.005316334571653757
RETOUCH-Spectralis,3,0.56,0.00522142233856893
RETOUCH-Spectralis,3,0.5700000000000001,0.005129791171028265
RETOUCH-Spectralis,3,0.58,0.005041368458453915
RETOUCH-Spectralis,3,0.59,0.00495591350179794
RETOUCH-Spectralis,3,0.6,0.004873312810798014
RETOUCH-Spectralis,3,0.61,0.004793430253956579
RETOUCH-Spectralis,3,0.62,0.00471609531402255
RETOUCH-Spectralis,3,0.63,0.004641257536606376
RETOUCH-Spectralis,3,0.64,0.004568723555779024
RETOUCH-Spectralis,3,0.65,0.004498444632973752
RETOUCH-Spectralis,3,0.66,0.004430285152409059
RETOUCH-Spectralis,3,0.67,0.0043641541674577615
RETOUCH-Spectralis,3,0.68,0.004299985200532759
RETOUCH-Spectralis,3,0.6900000000000001,0.004237648755860068
RETOUCH-Spectralis,3,0.7000000000000001,0.004177126917712658
RETOUCH-Spectralis,3,0.71,0.004118287249600363
RETOUCH-Spectralis,3,0.72,0.004061090813337267
RETOUCH-Spectralis,3,0.73,0.004005461847389578
RETOUCH-Spectralis,3,0.74,0.003951324266284875
RETOUCH-Spectralis,3,0.75,0.003898650291828787
RETOUCH-Spectralis,3,0.76,0.003847341847341834
RETOUCH-Spectralis,3,0.77,0.003797384491300861
